1,Arsene Wenger,France
2,Eddie Howe,England
3,Chris Hughton,Ireland
4,Sean Dyche,England
5,Antonio Conte,Wales
6,Roy Hodgson,England
7,Ronald Koeman,Netherlands
8,David Wagner,Germany
9,Craig Shakespeare,England
10,Jurgen Klopp,Germany
11,Pep Guardiola,Spain
12,Jose Mourinho,Portugal
13,Rafael Benitez,Spain
14,Mauricio Pellegrino,Argentina
15,Mark Hughes,Wales
16,Paul Clement,England
17,Mauricio Pochettino,Argentina
18,Marco Silva,Portugal
19,Tony Pullis,Wales
20,Slaven Bilic,Croatia