1,1,4,3,Arsenal,Leicester City,Arsene Wenger,Craig Shakespeare
2,1,0,2,Brighton and Hove Albion,Manchester City,Chris Hughton,Pep Guardiola
3,1,2,3,Chelsea,Burnley,Antonio Conte,Sean Dyche
4,1,0,3,Crystal Palace,Huddersfield Town,Roy Hodgson,David Wagner
5,1,1,0,Everton,Stoke City,Ronald Koeman,Mark Hughes
6,1,0,0,Southampton,Swansea City,Mauricio Pellegrino,Paul Clement
7,1,3,3,Watford,Liverpool,Marco Silva,Jurgen Klopp
8,1,1,0,West Bromwich Albion,Bournemouth,Tony Pulis,Eddie Howe
9,1,4,0,Manchester United,West Ham United,Jose Mourinho,Slaven Bilic
10,1,0,2,New Castle United,Tottenham Hotspur,Rafael Benitez,Mauricio Pochettino
11,2,0,2,Bournemouth,Watford,Eddie Howe,Marco Silva
12,2,0,1,Burnley,West Bromwich Albion,Sean Dyche,Tony Pulis
13,2,2,0,Leicester City,Brighton and Hove Albion,Craig Shakespeare,Chris Hughton
14,2,1,0,Liverpool,Crystal Palace,Jurgen Klopp,Roy Hodgson
15,2,3,2,Southampton,West Ham United,Mauricio Pellegrino,Slaven Bilic
16,2,1,0,Stoke City,Arsenal,Mark Hughes,Arsene Wenger
17,2,0,4,Swansea City,Manchester United,Paul Clement,Jose Mourinho
18,2,1,0,Huddersfield Town,New Castle United,David Wagner,Rafael Benitez
19,2,1,2,Tottenham Hotspur,Chelsea,Mauricio Pochettino,Antonio Conte
20,2,1,1,Manchester City,Everton,Pep Guardiola,Ronald Koeman
21,3,1,2,Bournemouth,Manchester City,Eddie Howe,Pep Guardiola
22,3,2,0,Chelsea,Everton,Antonio Conte,Ronald Koeman
23,3,0,2,Crystal Palace,Swansea City,Roy Hodgson,Paul Clement
24,3,0,0,Huddersfield Town,Southampton,David Wagner,Mauricio Pellegrino
25,3,2,0,Manchester United,Leicester City,Jose Mourinho,Craig Shakespeare
26,3,3,0,New Castle United,West Ham United,Rafael Benitez,Slaven Bilic
27,3,0,0,Watford,Brighton and Hove Albion,Marco Silva,Chris Hughton
28,3,4,0,Liverpool,Arsenal,Jurgen Klopp,Arsene Wenger
29,3,1,1,Tottenham Hotspur,Burnley,Mauricio Pochettino,Sean Dyche
30,3,1,1,West Bromwich Albion,Stoke City,Tony Pulis,Mark Hughes
31,4,3,0,Arsenal,Bournemouth,Arsene Wenger,Eddie Howe
32,4,3,1,Brighton and Hove Albion,West Bromwich Albion,Chris Hughton,Tony Pulis
33,4,0,3,Everton,Tottenham Hotspur,Ronald Koeman,Mauricio Pochettino
34,4,1,2,Leicester City,Chelsea,Craig Shakespeare,Antonio Conte
35,4,5,0,Manchester City,Liverpool,Pep Guardiola,Jurgen Klopp
36,4,0,2,Southampton,Watford,Mauricio Pellegrino,Marco Silva
37,4,2,2,Stoke City,Manchester United,Mark Hughes,Jose Mourinho
38,4,1,0,Burnley,Crystal Palace,Sean Dyche,Roy Hodgson
39,4,0,1,Swansea City,New Castle United,Paul Clement,Rafael Benitez
40,4,2,0,West Ham United,Huddersfield Town,Slaven Bilic,David Wagner
41,5,2,1,Bournemouth,Brighton and Hove Albion,Eddie Howe,Chris Hughton
42,5,0,1,Crystal Palace,Southampton,Roy Hodgson,Mauricio Pellegrino
43,5,1,1,Huddersfield Town,Leicester City,David Wagner,Craig Shakespeare
44,5,1,1,Liverpool,Burnley,Jurgen Klopp,Sean Dyche
45,5,2,1,New Castle United,Stoke City,Rafael Benitez,Mark Hughes
46,5,0,0,Tottenham Hotspur,Swansea City,Mauricio Pochettino,Paul Clement
47,5,0,6,Watford,Manchester City,Marco Silva,Pep Guardiola
48,5,0,0,West Bromwich Albion,West Ham United,Tony Pulis,Slaven Bilic
49,5,0,0,Chelsea,Arsenal,Antonio Conte,Arsene Wenger
50,5,4,0,Manchester United,Everton,Jose Mourinho,Ronald Koeman
51,6,0,0,Burnley,Huddersfield Town,Sean Dyche,David Wagner
52,6,2,1,Everton,Bournemouth,Ronald Koeman,Eddie Howe
53,6,2,3,Leicester City,Liverpool,Craig Shakespeare,Jurgen Klopp
54,6,5,0,Manchester City,Crystal Palace,Pep Guardiola,Roy Hodgson
55,6,0,1,Southampton,Manchester United,Mauricio Pellegrino,Jose Mourinho
56,6,0,4,Stoke City,Chelsea,Mark Hughes,Antonio Conte
57,6,1,2,Swansea City,Watford,Paul Clement,Marco Silva
58,6,2,3,West Ham United,Tottenham Hotspur,Slaven Bilic,Mauricio Pochettino
59,6,1,0,Brighton and Hove Albion,New Castle United,Chris Hughton,Rafael Benitez
60,6,2,0,Arsenal,West Bromwich Albion,Arsene Wenger,Tony Pulis
61,7,0,0,Bournemouth,Leicester City,Eddie Howe,Craig Shakespeare
62,7,0,1,Chelsea,Manchester City,Antonio Conte,Pep Guardiola
63,7,0,4,Huddersfield Town,Tottenham Hotspur,David Wagner,Mauricio Pochettino
64,7,4,0,Manchester United,Crystal Palace,Jose Mourinho,Roy Hodgson
65,7,2,1,Stoke City,Southampton,Mark Hughes,Mauricio Pellegrino
66,7,2,2,West Bromwich Albion,Watford,Tony Pulis,Marco Silva
67,7,1,0,West Ham United,Swansea City,Slaven Bilic,Paul Clement
68,7,2,0,Arsenal,Brighton and Hove Albion,Arsene Wenger,Chris Hughton
69,7,0,1,Everton,Burnley,Ronald Koeman,Sean Dyche
70,7,1,1,New Castle United,Liverpool,Rafael Benitez,Jurgen Klopp
71,8,,,Brighton and Hove Albion,Everton,Chris Hughton,Ronald Koeman
72,8,,,Burnley,West Ham United,Sean Dyche,Slaven Bilic
73,8,,,Crystal Palace,Chelsea,Roy Hodgson,Antonio Conte
74,8,,,Leicester City,West Bromwich Albion,Craig Shakespeare,Tony Pulis
75,8,,,Liverpool,Manchester United,Jurgen Klopp,Jose Mourinho
76,8,,,Manchester City,Stoke City,Pep Guardiola,Mark Hughes
77,8,,,Southampton,New Castle United,Mauricio Pellegrino,Rafael Benitez
78,8,,,Swansea City,Huddersfield Town,Paul Clement,David Wagner
79,8,,,Tottenham Hotspur,Bournemouth,Mauricio Pochettino,Eddie Howe
80,8,,,Watford,Arsenal,Marco Silva,Arsene Wenger
81,9,,,Chelsea,Watford,Antonio Conte,Marco Silva
82,9,,,Everton,Arsenal,Ronald Koeman,Arsene Wenger
83,9,,,Huddersfield Town,Manchester United,David Wagner,Jose Mourinho
84,9,,,Manchester City,Burnley,Pep Guardiola,Sean Dyche
85,9,,,New Castle United,Crystal Palace,Rafael Benitez,Roy Hodgson
86,9,,,Southampton,West Bromwich Albion,Mauricio Pellegrino,Tony Pulis
87,9,,,Stoke City,Bournemouth,Mark Hughes,Eddie Howe
88,9,,,Swansea City,Leicester City,Paul Clement,Craig Shakespeare
89,9,,,Tottenham Hotspur,Liverpool,Mauricio Pochettino,Jurgen Klopp
90,9,,,West Ham United,Brighton and Hove Albion,Slaven Bilic,Chris Hughton
91,10,,,Arsenal,Swansea City,Arsene Wenger,Paul Clement
92,10,,,Bournemouth,Chelsea,Eddie Howe,Antonio Conte
93,10,,,Brighton and Hove Albion,Southampton,Chris Hughton,Mauricio Pellegrino
94,10,,,Burnley,New Castle United,Sean Dyche,Rafael Benitez
95,10,,,Crystal Palace,West Ham United,Roy Hodgson,Slaven Bilic
96,10,,,Leicester City,Everton,Craig Shakespeare,Ronald Koeman
97,10,,,Liverpool,Huddersfield Town,Jurgen Klopp,David Wagner
98,10,,,Manchester United,Tottenham Hotspur,Jose Mourinho,Mauricio Pochettino
99,10,,,Watford,Stoke City,Marco Silva,Mark Hughes
100,10,,,West Bromwich Albion,Manchester City,Tony Pulis,Pep Guardiola
101,11,,,Chelsea,Manchester United,Antonio Conte,Jose Mourinho
102,11,,,Everton,Watford,Ronald Koeman,Marco Silva
103,11,,,Huddersfield Town,West Bromwich Albion,David Wagner,Tony Pulis
104,11,,,New Castle United,Bournemouth,Rafael Benitez,Eddie Howe
105,11,,,Southampton,Burnley,Mauricio Pellegrino,Sean Dyche
106,11,,,Stoke City,Leicester City,Mark Hughes,Craig Shakespeare
107,11,,,Swansea City,Brighton and Hove Albion,Paul Clement,Chris Hughton
108,11,,,Tottenham Hotspur,Crystal Palace,Mauricio Pochettino,Roy Hodgson
109,11,,,West Ham United,Liverpool,Slaven Bilic,Jurgen Klopp
110,11,,,Manchester City,Arsenal,Pep Guardiola,Arsene Wenger
111,12,,,Arsenal,Tottenham Hotspur,Arsene Wenger,Mauricio Pochettino
112,12,,,Bournemouth,Huddersfield Town,Eddie Howe,David Wagner
113,12,,,Brighton and Hove Albion,Stoke City,Chris Hughton,Mark Hughes
114,12,,,Burnley,Swansea City,Sean Dyche,Paul Clement
115,12,,,Crystal Palace,Everton,Roy Hodgson,Ronald Koeman
116,12,,,Leicester City,Manchester City,Craig Shakespeare,Pep Guardiola
117,12,,,Liverpool,Southampton,Jurgen Klopp,Mauricio Pellegrino
118,12,,,Manchester United,New Castle United,Jose Mourinho,Rafael Benitez
119,12,,,Watford,West Ham United,Marco Silva,Slaven Bilic
120,12,,,West Bromwich Albion,Chelsea,Tony Pulis,Antonio Conte
121,13,,,Crystal Palace,Stoke City,Roy Hodgson,Mark Hughes
122,13,,,Huddersfield Town,Manchester City,David Wagner,Pep Guardiola
123,13,,,Liverpool,Chelsea,Jurgen Klopp,Antonio Conte
124,13,,,Manchester United,Brighton and Hove Albion,Jose Mourinho,Chris Hughton
125,13,,,New Castle United,Watford,Rafael Benitez,Marco Silva
126,13,,,Southampton,Everton,Mauricio Pellegrino,Ronald Koeman
127,13,,,Swansea City,Bournemouth,Paul Clement,Eddie Howe
128,13,,,Tottenham Hotspur,West Bromwich Albion,Mauricio Pochettino,Tony Pulis
129,13,,,West Ham United,Leicester City,Slaven Bilic,Craig Shakespeare
130,13,,,Burnley,Arsenal,Sean Dyche,Arsene Wenger
131,14,,,Brighton and Hove Albion,Crystal Palace,Chris Hughton,Roy Hodgson
132,14,,,Leicester City,Tottenham Hotspur,Craig Shakespeare,Mauricio Pochettino
133,14,,,Watford,Manchester United,Marco Silva,Jose Mourinho
134,14,,,West Bromwich Albion,New Castle United,Tony Pulis,Rafael Benitez
135,14,,,Arsenal,Huddersfield Town,Arsene Wenger,David Wagner
136,14,,,Bournemouth,Burnley,Eddie Howe,Sean Dyche
137,14,,,Chelsea,Swansea City,Antonio Conte,Paul Clement
138,14,,,Everton,West Ham United,Ronald Koeman,Slaven Bilic
139,14,,,Manchester City,Southampton,Pep Guardiola,Mauricio Pellegrino
140,14,,,Stoke City,Liverpool,Mark Hughes,Jurgen Klopp
141,15,,,Arsenal,Manchester United,Arsene Wenger,Jose Mourinho
142,15,,,Bournemouth,Southampton,Eddie Howe,Mauricio Pellegrino
143,15,,,Brighton and Hove Albion,Liverpool,Chris Hughton,Jurgen Klopp
144,15,,,Chelsea,New Castle United,Antonio Conte,Rafael Benitez
145,15,,,Everton,Huddersfield Town,Ronald Koeman,David Wagner
146,15,,,Leicester City,Burnley,Craig Shakespeare,Sean Dyche
147,15,,,Manchester City,West Ham United,Pep Guardiola,Slaven Bilic
148,15,,,Stoke City,Swansea City,Mark Hughes,Paul Clement
149,15,,,Watford,Tottenham Hotspur,Marco Silva,Mauricio Pochettino
150,15,,,West Bromwich Albion,Crystal Palace,Tony Pulis,Roy Hodgson
151,16,,,Burnley,Watford,Sean Dyche,Marco Silva
152,16,,,Crystal Palace,Bournemouth,Roy Hodgson,Eddie Howe
153,16,,,Huddersfield Town,Brighton and Hove Albion,David Wagner,Chris Hughton
154,16,,,Liverpool,Everton,Jurgen Klopp,Ronald Koeman
155,16,,,Manchester United,Manchester City,Jose Mourinho,Pep Guardiola
156,16,,,New Castle United,Leicester City,Rafael Benitez,Craig Shakespeare
157,16,,,Swansea City,West Bromwich Albion,Paul Clement,Tony Pulis
158,16,,,Tottenham Hotspur,Stoke City,Mauricio Pochettino,Mark Hughes
159,16,,,West Ham United,Chelsea,Slaven Bilic,Antonio Conte
160,16,,,Southampton,Arsenal,Mauricio Pellegrino,Arsene Wenger
161,17,,,Burnley,Stoke City,Sean Dyche,Mark Hughes
162,17,,,Crystal Palace,Watford,Roy Hodgson,Marco Silva
163,17,,,Huddersfield Town,Chelsea,David Wagner,Antonio Conte
164,17,,,Manchester United,Bournemouth,Jose Mourinho,Eddie Howe
165,17,,,Swansea City,Manchester City,Paul Clement,Pep Guardiola
166,17,,,Liverpool,West Bromwich Albion,Jurgen Klopp,Tony Pulis
167,17,,,New Castle United,Everton,Rafael Benitez,Ronald Koeman
168,17,,,Southampton,Leicester City,Mauricio Pellegrino,Craig Shakespeare
169,17,,,Tottenham Hotspur,Brighton and Hove Albion,Mauricio Pochettino,Chris Hughton
170,17,,,West Ham United,Arsenal,Slaven Bilic,Arsene Wenger
171,18,,,Arsenal,New Castle United,Arsene Wenger,Rafael Benitez
172,18,,,Bournemouth,Liverpool,Eddie Howe,Jurgen Klopp
173,18,,,Brighton and Hove Albion,Burnley,Chris Hughton,Sean Dyche
174,18,,,Chelsea,Southampton,Antonio Conte,Mauricio Pellegrino
175,18,,,Everton,Swansea City,Ronald Koeman,Paul Clement
176,18,,,Leicester City,Crystal Palace,Craig Shakespeare,Roy Hodgson
177,18,,,Manchester City,Tottenham Hotspur,Pep Guardiola,Mauricio Pochettino
178,18,,,Stoke City,West Ham United,Mark Hughes,Slaven Bilic
179,18,,,Watford,Huddersfield Town,Marco Silva,David Wagner
180,18,,,West Bromwich Albion,Manchester United,Tony Pulis,Jose Mourinho
181,19,,,Arsenal,Liverpool,Arsene Wenger,Jurgen Klopp
182,19,,,Brighton and Hove Albion,Watford,Chris Hughton,Marco Silva
183,19,,,Burnley,Tottenham Hotspur,Sean Dyche,Mauricio Pochettino
184,19,,,Everton,Chelsea,Ronald Koeman,Antonio Conte
185,19,,,Leicester City,Manchester United,Craig Shakespeare,Jose Mourinho
186,19,,,Manchester City,Bournemouth,Pep Guardiola,Eddie Howe
187,19,,,Southampton,Huddersfield Town,Mauricio Pellegrino,David Wagner
188,19,,,Stoke City,West Bromwich Albion,Mark Hughes,Tony Pulis
189,19,,,Swansea City,Crystal Palace,Paul Clement,Roy Hodgson
190,19,,,West Ham United,New Castle United,Slaven Bilic,Rafael Benitez
